Date,UNI_price,AAVE_price,MKR_price,SNX_price,COMP_price
2020-09-10,,,540.1128492008339,5.372491313412087,178.51113968033386
2020-09-11,,,525.9126180555536,5.717263888888861,171.72795833333296
2020-09-12,,,518.839020833332,5.8734097222222434,174.16932638888872
2020-09-13,,,502.8363680555557,5.637194444444397,173.29332638888857
2020-09-14,,,494.94096527777714,5.381208333333321,165.9296180555553
2020-09-15,,,480.04845833333343,4.976635416666668,162.3687152777776
2020-09-16,,,465.54611111111234,4.5128888888889565,152.11368055555624
2020-09-17,3.2426086956521765,,483.5189375000001,4.666187500000008,153.70096527777864
2020-09-18,5.491076388888898,,496.5048333333325,4.53243402777772,159.81295138888885
2020-09-19,6.531111111111113,,512.6463263888882,4.381840277777775,153.1396041666665
2020-09-20,5.363472222222226,,492.0329513888891,4.317333333333366,148.5556875000003
2020-09-21,4.759340277777794,,466.4995416666662,3.819788194444473,136.50185416666687
2020-09-22,4.119756944444442,,457.662381944445,3.987284722222235,137.11368750000054
2020-09-23,4.409736111111104,,455.5822430555567,4.05370486111114,138.65008333333327
2020-09-24,4.898534722222215,,461.90901388888886,4.135375000000066,135.8336458333331
2020-09-25,5.113298611111131,,494.6474583333346,4.64554513888888,137.8486458333335
2020-09-26,4.854541666666646,,513.0674583333345,5.051767361111039,142.53217361111132
2020-09-27,4.8650138888889085,,505.4575486111117,5.072020833333302,140.0586111111118
2020-09-28,4.580902777777821,,520.9491249999993,5.144215277777775,136.81536111111058
2020-09-29,4.253250000000014,,518.9507291666667,4.888954861111051,131.80731944444435
2020-09-30,4.13293055555557,,533.5687708333334,4.692868055555558,133.4499791666668
2020-10-01,4.250569444444429,,580.2935624999998,4.7499722222222,133.96819444444438
2020-10-02,3.9400625000000047,,553.0695694444441,4.345333333333381,122.7937847222224
2020-10-03,3.914187499999996,,572.3117500000004,4.442513888888841,123.2313125
2020-10-04,3.7730416666667206,,560.8755972222225,4.418906250000032,120.45502083333324
2020-10-05,3.513722222222253,,557.6911805555544,4.299541666666654,122.28167361111127
2020-10-06,3.0384097222222106,,538.8575763888863,3.851847222222314,112.14290972222229
2020-10-07,2.72047916666667,,518.9507430555543,3.70435069444448,105.97448611111106
2020-10-08,3.0123680555555565,,519.131534722225,3.856427083333336,108.06432638888889
2020-10-09,3.3558541666666724,,547.6375694444433,4.051836805555482,110.58249999999958
2020-10-10,3.408423611111105,,589.6428819444432,4.336534722222235,116.2644930555558
2020-10-11,3.319993055555569,,588.179118055556,4.175777777777772,114.0054583333338
2020-10-12,3.429347222222221,,586.6524444444449,4.28569444444443,116.17411111111112
2020-10-13,3.403256944444414,51.13655172413805,581.7731736111133,4.537298611111141,115.62870833333332
2020-10-14,3.256041666666663,52.657986111111214,578.3524722222243,4.451809027777899,111.03114583333296
2020-10-15,3.056166666666663,47.81548611111123,564.5978541666648,4.150760416666645,107.24787499999968
2020-10-16,3.139777777777756,41.63878472222203,548.2520763888908,3.987229166666739,103.69946527777756
2020-10-17,3.0474236111111463,41.18576388888881,552.8228958333333,3.938791666666552,103.8072569444449
2020-10-18,3.1496736111111527,40.33965277777777,564.4625625000006,3.945746527777819,105.4480833333334
2020-10-19,3.1995555555555213,38.86826388888869,573.3966805555574,3.849402777777732,103.59226388888924
2020-10-20,2.999312500000031,34.36815972222223,563.7317847222216,3.5675486111111128,96.50644444444426
2020-10-21,2.9774791666666367,34.59802083333336,563.7187708333307,3.615326388888878,96.74997916666676
2020-10-22,3.026909722222206,36.21538194444451,588.428555555555,3.776527777777704,99.03480555555556
2020-10-23,3.0250486111111363,39.875208333333255,594.6706180555558,3.8158611111111487,103.5826180555556
2020-10-24,3.0090069444444856,40.6410763888889,596.7230763888881,3.806038194444515,105.02404166666705
2020-10-25,2.8997361111111,39.26159722222221,591.1621180555577,3.650562499999965,103.95147916666662
2020-10-26,2.7545208333333586,37.632736111111,587.9149722222207,3.624656250000017,101.46542361111104
2020-10-27,2.8148263888888985,36.28709027777791,581.641083333332,3.549802083333325,108.48552777777738
2020-10-28,2.708159722222239,33.55438194444452,560.9437638888895,3.5031597222221933,113.01609027777788
2020-10-29,2.617798611111062,30.743069444444423,539.1302777777786,3.529701388888918,101.74897916666644
2020-10-30,2.3669583333333226,30.190076388888823,524.2411874999997,3.0997847222222394,92.94277777777788
2020-10-31,2.347777777777757,30.636777777777816,524.3472499999976,3.0667916666666826,92.0467430555557
2020-11-01,2.289090277777783,29.3856666666666,529.9902847222234,2.8612638888888884,91.69622222222216
2020-11-02,2.317270833333327,31.087680555555604,538.3246944444462,2.7531979166666667,93.25952777777786
2020-11-03,2.1396319444444805,28.329506944444518,519.22279861111,2.525868055555631,85.92214583333373
2020-11-04,2.0460833333333124,27.730333333333437,514.240479166667,2.5576805555555904,86.11040972222192
2020-11-05,2.022909722222197,28.568041666666776,532.4655000000015,2.809416666666663,88.49288888888871
2020-11-06,2.465256944444443,36.05783333333333,533.1036041666656,3.364003472222223,94.67080555555532
2020-11-07,2.7328888888888985,42.816312499999896,536.5370416666668,3.801875000000018,101.01031250000008
2020-11-08,2.675944444444474,48.54777083333326,525.3239722222249,4.075451388888903,96.30059027777796
2020-11-09,2.713083333333325,54.10558333333344,527.5868819444456,4.22764583333332,96.61485416666652
2020-11-10,2.894166666666661,61.67365972222227,535.7250208333329,4.510506944444432,100.17236111111092
2020-11-11,3.077076388888885,59.361562500000126,550.8312916666663,4.452795138888804,108.0462569444444
2020-11-12,2.9935694444444687,55.17479861111087,538.1073958333311,3.9308055555555206,103.76240972222216
