dpi_units,weth_units,liq_days,dpi_usd_price,weth_usd_price,dpi_liq,weth_liq,total_liq_in_usd
7048.166856577961,403.19823605486573,2022-11-07T00:00:00+00:00,90.10847328244273,1583.01248091603,635099.5548861535,638267.8399581801,1.2733673948443336e+06
7103.1243638249625,400.12160307875575,2022-11-08T00:00:00+00:00,82.5355763888887,1459.8787847222202,586260.4635302516,584129.0396437205,1.170389503173972e+06
7060.799268130534,402.63757737243736,2022-11-09T00:00:00+00:00,70.53884027777772,1230.1034722222284,498060.5918081096,495285.8819729814,993346.4737810909
6492.373957540617,369.99416755881,2022-11-10T00:00:00+00:00,70.39768749999988,1230.3456458333317,457048.1129960818,455220.71303971,912268.8260357918
6458.71054609503,362.52263584406097,2022-11-11T00:00:00+00:00,71.46511111111099,1269.2059861111131,461572.4668111856,460115.8995140614,921688.366325247
6635.943772565169,352.29285172396754,2022-11-12T00:00:00+00:00,68.13652777777779,1265.1092569444452,452150.1671911581,445688.9478713482,897839.1150625063
6555.175661365356,356.4329439125748,2022-11-13T00:00:00+00:00,67.7466527777777,1242.3860902777835,444091.20942785806,442827.3316337443,886918.5410616023
6551.506796564375,355.7709769917495,2022-11-14T00:00:00+00:00,66.34702777777785,1230.1360416666741,434673.003417957,437646.7013765161,872319.704794473
6448.578196347575,360.733627646948,2022-11-15T00:00:00+00:00,69.60514583333321,1259.4487777777817,448854.2257744258,454325.5264432941,903179.7522177198
6415.791104121343,362.487629762069,2022-11-16T00:00:00+00:00,69.41626388888886,1230.7211805555546,445360.2483396728,446121.2036375583,891481.4519772311
6416.870413008688,362.5381090761101,2022-11-17T00:00:00+00:00,67.73757638888878,1206.0791874999964,434663.2497787763,437249.66803229996,871912.9178110763
6434.098847231079,361.7257161280462,2022-11-18T00:00:00+00:00,67.87665277777788,1214.6117499999987,436725.0933914049,439356.30508628895,876081.3984776938
6488.654503872664,358.3529557058016,2022-11-19T00:00:00+00:00,66.84918750000011,1210.3327291666683,433761.2815521039,433726.31088434503,867487.5924364489
6465.426367872168,359.9250177119133,2022-11-20T00:00:00+00:00,66.2121041666665,1193.0496041666677,428089.4841514643,429408.39991087903,857497.8840623433
6448.517214094711,361.10311820687014,2022-11-21T00:00:00+00:00,63.25142361111135,1121.990701388887,407877.8939722482,405154.34087064036,813032.2348428885
6448.500097538703,361.3941627231845,2022-11-22T00:00:00+00:00,62.19681249999997,1111.596819444446,401076.1514728462,401724.60184888047,802800.7533217267
6446.636429381779,361.55607693659357,2022-11-23T00:00:00+00:00,64.28350000000017,1163.1700833333343,414412.35290816467,420551.21214001096,834963.5650481756
6484.826755040107,359.4381307148257,2022-11-24T00:00:00+00:00,65.11656250000004,1199.0138125000014,422269.6266962416,430971.28346625704,853240.9101624987
6501.843964248877,358.50574832392897,2022-11-25T00:00:00+00:00,64.45484027777783,1190.6341805555544,419075.31422669516,426849.197880117,845924.5121068121
6503.256897124801,358.44304907005017,2022-11-26T00:00:00+00:00,65.94264583333333,1216.2570972222247,428841.96633028303,435958.9023814227,864800.8687117058
6456.0154711412015,360.7953403737841,2022-11-27T00:00:00+00:00,66.78346527777765,1215.5982083333367,431155.0850497538,438582.16933338833,869737.2543831421
6456.238932989711,360.7168033314355,2022-11-28T00:00:00+00:00,64.60194444444446,1173.6627916666666,417085.5888690607,423359.8903990485,840445.4792681092
6444.64669866028,361.4282722327745,2022-11-29T00:00:00+00:00,67.39999305555526,1206.2284652777794,434369.14273520996,435965.070123339,870334.212858549
6513.670317374861,357.6130581562343,2022-11-30T00:00:00+00:00,69.56555555555572,1271.4390763888857,453127.09433391516,454683.21636676736,907810.3107006825
6540.057220798792,356.1849959786536,2022-12-01T00:00:00+00:00,68.94986111111135,1281.397236111109,450936.0370327975,456414.4693912932,907350.5064240907
6479.385351020706,359.5446767788653,2022-12-02T00:00:00+00:00,69.53138194444443,1281.1800833333352,450520.6176070589,460641.47895760374,911162.0965646626
6447.645777178057,361.3161542356221,2022-12-03T00:00:00+00:00,70.90897916666648,1275.2539722222211,457195.980087964,460769.8609170338,917965.8410049977
6451.166643534352,361.12273781107075,2022-12-04T00:00:00+00:00,69.29935416666633,1263.0787222222189,447061.6820184712,456126.4462397966,903188.1282582678
6434.883629222748,362.0445090005808,2022-12-05T00:00:00+00:00,70.8696319444444,1282.176625000002,456037.83440834674,464205.00665014755,920242.8410584943
6423.370659092584,362.7254557826119,2022-12-06T00:00:00+00:00,70.13547916666688,1258.7761874999997,450506.17904056725,456590.1663392359,907096.3453798031
6436.101142118799,362.0289226640222,2022-12-07T00:00:00+00:00,68.86100343053167,1243.852289879934,443196.3828266914,450310.50445840956,893506.887285101
