Date,aum,net_flow,DPI_price
2020-09-10,969.9631226444906,969.9631226444906,456.75302479975454
2020-09-11,6203.445098210644,5854.244308675133,130.08362629370765
2020-09-12,10401.951549785716,2931.8117800028404,132.866086049771
2020-09-13,185803.679829832,175075.40894609975,136.83718963687926
2020-09-14,634117.3464035642,461649.081362955,129.02050859561456
2020-09-15,1202723.0116429331,577352.5479421219,125.00876401764992
2020-09-16,1357757.1517963847,279544.5372378351,113.00070852300315
2020-09-17,1384021.4525050162,64143.91293206359,110.57313129985629
2020-09-18,1340117.266844004,13402.327890794126,106.4062570547823
2020-09-19,1434195.0849630272,54130.08203055874,108.5733834794564
2020-09-20,1484714.381947637,58870.93153678464,106.79598714141233
2020-09-21,1342731.5568704936,52641.18819056804,91.25209582956668
2020-09-22,1379370.2178543864,37497.00014732269,94.24360159472636
2020-09-23,1411003.3316811873,58444.3384819457,92.951692622463
2020-09-24,1463061.108490261,18189.826795098437,94.2313760394412
2020-09-25,1543626.4367969374,57745.96472248512,96.09355672479327
2020-09-26,1720815.055743334,35957.504008274314,105.60455848978934
2020-09-27,1819675.7883958733,68083.23098347247,107.10272557390022
2020-09-28,1853190.6325651607,49236.67116021456,105.55531165428076
2020-09-29,1830219.9715912207,54577.22181369857,98.92461207894024
2020-09-30,1782732.426928341,12963.881040861916,97.33544223243968
2020-10-01,1873794.0245021312,19938.296298416382,101.28357362259432
2020-10-02,1845808.5805861847,111170.64437840192,93.94969073993448
2020-10-03,2090088.621343205,210976.57120215625,95.7391220508732
2020-10-04,2072395.6589631285,37816.29575736237,92.8672255617878
2020-10-05,2073774.0832285169,27607.47366444276,91.85677415536452
2020-10-06,2350033.9364541885,485401.91282510496,80.90588472266239
2020-10-07,5285750.762900649,3082210.295511441,78.89086168951599
2020-10-08,8386002.366879638,2701780.2007586216,83.56727511932826
2020-10-09,12185681.923867911,3601617.511681823,87.40254583592694
2020-10-10,13409743.831812508,477327.98481939104,90.18962257982
2020-10-11,12766713.736276904,-409163.15488305874,88.92427705033813
2020-10-12,13017045.980886647,33871.64624917204,91.36660360628528
2020-10-13,13413076.119253865,314475.05190304096,90.66755603367156
2020-10-14,14039166.2702642,729329.6792116317,90.3290640067813
2020-10-15,14293954.949654097,861171.9629509168,86.28797610793355
2020-10-16,13884925.199697455,344120.7136204679,81.49906876366497
2020-10-17,13584918.718036857,-30418.516126751787,80.04027330389036
2020-10-18,13973807.525144003,120342.65543729144,82.02955530598132
2020-10-19,14067977.272138594,175225.32633895054,81.09448616748365
2020-10-20,13649684.12261318,574868.6578319352,75.64367034222633
2020-10-21,13947301.750460396,184435.0068904592,76.33682258841546
2020-10-22,14894930.22440794,306207.8338646367,78.98347371255188
2020-10-23,14589117.18702126,-354322.4109388376,79.92078767437059
2020-10-24,15010016.95493635,149876.53709334714,81.32977932278278
2020-10-25,15297480.46586817,621915.2673673285,79.58228542186758
2020-10-26,15162657.320582025,312678.04090376553,76.94828628145538
2020-10-27,15299450.486517342,339155.29377145175,76.62721853057499
2020-10-28,15287552.321080362,594984.1659086016,73.09583210345892
2020-10-29,14961671.642507128,502976.0201856394,70.82419136507289
2020-10-30,14278328.385300493,255882.0568448864,65.09844251337054
2020-10-31,14681025.822169311,187215.9635485673,65.89551437268743
2020-11-01,14376018.045893434,47567.59249975553,64.39628662426617
2020-11-02,14603173.163203632,203556.03354958937,64.64660572772813
2020-11-03,13791157.565503808,42083.55502360621,60.193986126296046
2020-11-04,13997073.30714196,495668.6136556638,59.21331607117918
2020-11-05,13859298.461536374,-184422.2186004445,59.75187668311656
2020-11-06,15795085.822916884,-353302.1017106797,69.59040782653392
2020-11-07,17281468.85174932,-163384.70953160716,76.64569791120277
2020-11-08,17618757.92346048,35210.93918970411,78.35641206269202
2020-11-09,18304158.387428325,180297.25145379445,80.20951967663368
2020-11-10,18909259.57357538,-835185.3249395968,87.72568062583082
2020-11-11,20926138.14491544,1302098.243411225,89.10893136427927
2020-11-12,20653066.53692737,1020152.0900657288,83.8270376648925
2020-11-13,21751346.99490713,-21053.920339313063,90.10508501557317
2020-11-14,21788551.43933889,-339661.8281772649,90.6664857964978
2020-11-15,23343578.237853903,536364.4050288434,94.5665189497414
2020-11-16,23688613.928894065,525373.8207274965,94.47469853773966
2020-11-17,26421076.802335065,1558636.287211843,98.47847765949524
2020-11-18,27949627.577030275,1700293.840341122,98.05968224099963
2020-11-19,29351607.743989624,857238.1139093859,101.48147210791156
2020-11-20,32410978.86576218,1051120.942299572,106.2372592118175
2020-11-21,32777829.63349481,937054.2013725356,104.66035151217535
2020-11-22,33203833.574977987,1353520.437155584,101.95050957502652
2020-11-23,35468493.109101295,710531.7209227411,106.62948953101407
2020-11-24,36374232.26514397,475973.0525789787,107.93379192218104
2020-11-25,35550239.51753508,-230617.56026177335,106.1038403581887
2020-11-26,30040887.875640824,-336509.78572834504,90.7384037610174
2020-11-27,29808701.540010106,-501873.33762667584,91.62380940252378
2020-11-28,30000602.861053288,-41509.646831384125,92.29854687836844
2020-11-29,30998574.070344727,-227027.6453303784,95.74785224194888
2020-11-30,33878657.53396684,507896.0714477695,103.18460828576532
2020-12-01,29749529.390362687,-3570444.645804356,101.36615732479156
2020-12-02,29618157.85486258,-1423341.1238053574,107.08694925837302
2020-12-03,30781136.398126032,-469693.7138487621,111.7403108629702
2020-12-04,30020050.831522297,-61414.02644393794,109.15083411823431
2020-12-05,29177141.123010807,-505954.7477741434,108.11079366210392
2020-12-06,28423783.98118506,-738564.3972132518,108.06889416621593
