Date,token_a_amount
30-04-21,2806.829365
01-05-21,5418.723343
02-05-21,2970.479821
03-05-21,5810.017942
04-05-21,7862.190051
05-05-21,2466.012297
06-05-21,2135.398377
07-05-21,3438.430319
08-05-21,2724.028314
09-05-21,3512.716576
10-05-21,7344.696569
11-05-21,5873.897021
12-05-21,18585.46588
13-05-21,14569.69665
14-05-21,8869.041462
15-05-21,7934.950218
16-05-21,8104.663159
17-05-21,15628.14607
18-05-21,22696.00354
19-05-21,23978.34294
20-05-21,14598.0667
21-05-21,17757.48879
22-05-21,16990.30041
23-05-21,31558.4548
24-05-21,26779.38766
25-05-21,19881.94838
26-05-21,17490.47835
27-05-21,15038.08243
28-05-21,16078.82086
29-05-21,38472.24418
30-05-21,7705.257107
31-05-21,26630.12198
01-06-21,20403.73155
02-06-21,15666.4438
03-06-21,6841.937988
04-06-21,5068.753918
05-06-21,2317.164953
06-06-21,2006.906267
07-06-21,4957.799165
08-06-21,8452.653673
09-06-21,4276.083548
10-06-21,7104.877577
11-06-21,3084.473316
12-06-21,4514.125909
13-06-21,9359.922807
14-06-21,2342.692582
15-06-21,2676.669592
16-06-21,5093.212008
17-06-21,2475.415861
18-06-21,3387.809517
19-06-21,1129.993562
20-06-21,3498.644672
21-06-21,7647.824827
22-06-21,17093.10476
23-06-21,3374.606555
24-06-21,4484.853977
25-06-21,4865.156083
26-06-21,6687.357196
27-06-21,3187.434015
28-06-21,6309.615387
29-06-21,4264.355404
30-06-21,4350.855159
01-07-21,11592.42894
02-07-21,3835.30898
03-07-21,3595.874334
04-07-21,6652.790612
05-07-21,9655.347358
06-07-21,9606.950915
07-07-21,4329.583048
08-07-21,13931.243
09-07-21,8731.850684
10-07-21,3407.649329
11-07-21,5451.836843
12-07-21,6049.284587
13-07-21,3368.580619
14-07-21,6851.915159
15-07-21,4471.873074
16-07-21,10950.0743
17-07-21,5894.927734
18-07-21,6481.301499
19-07-21,2583.440943
20-07-21,10367.63319
21-07-21,7697.061582
22-07-21,4138.631445
23-07-21,14414.84789
24-07-21,5443.630633
25-07-21,1786.800408
26-07-21,4643.140289
27-07-21,2137.08257
28-07-21,1837.630196
29-07-21,2483.337576
30-07-21,2730.861512
31-07-21,3594.079092
01-08-21,3503.447133
02-08-21,7501.179237
03-08-21,5165.149178
04-08-21,5235.538623
05-08-21,4884.352313
06-08-21,3774.166528
07-08-21,3813.243437
08-08-21,4597.380488
09-08-21,9105.557006
10-08-21,10674.98179
11-08-21,7968.717405
12-08-21,10119.48328
13-08-21,9800.912797
14-08-21,2890.126861
15-08-21,5570.803881
16-08-21,10253.91625
17-08-21,12980.05895
18-08-21,9671.79566
19-08-21,7191.330261
20-08-21,8240.142779
21-08-21,8405.368632
22-08-21,6578.329562
23-08-21,2801.983539
24-08-21,5355.08468
25-08-21,4442.772932
26-08-21,5773.375543
27-08-21,4418.970866
