Date,net_flow,aum_change,net_flow_change,DPI_returns
2020-09-10,969.9631226444906,,,
2020-09-11,5854.244308675133,5.395547370190403,5.035532869243753,-0.7151992012516224
2020-09-12,2931.8117800028404,0.6768023872390057,-0.4991989357775307,0.021389776986851627
2020-09-13,175075.40894609975,16.862386585876727,58.715773754729284,0.02988801510733663
2020-09-14,461649.081362955,2.4128352408537848,1.636858506525507,-0.05712395191692843
2020-09-15,577352.5479421219,0.896688394449783,0.25063077400169065,-0.03109385183512592
2020-09-16,279544.5372378351,0.12890261402887204,-0.5158165695566329,-0.09605770914550726
2020-09-17,64143.91293206359,0.01934388684595212,-0.7705413471289182,-0.021482849575697127
2020-09-18,13402.327890794126,-0.0317221857952763,-0.7910584609175797,-0.03768432887890372
2020-09-19,54130.08203055874,0.0702011834685019,3.0388567174020524,0.020366531862485937
2020-09-20,58870.93153678464,0.03522484319900743,0.08758252949902223,-0.016370460983012314
2020-09-21,52641.18819056804,-0.0956297229982318,-0.10582036301436881,-0.14554752222350287
2020-09-22,37497.00014732269,0.027286661132241985,-0.28768704818024615,0.03278287186682238
2020-09-23,58444.3384819457,0.02293301204951792,0.5586403779588396,-0.013708187615950052
2020-09-24,18189.826795098437,0.036894155839481746,-0.6887666578565598,0.013767187889475174
2020-09-25,57745.96472248512,0.05506627702639988,2.1746297187417842,0.019761790219137154
2020-09-26,35957.504008274314,0.11478724043756827,-0.3773157279287226,0.09897647760333261
2020-09-27,68083.23098347247,0.05744994636267564,0.8934359561721967,0.014186575897249032
2020-09-28,49236.67116021456,0.01841803049917612,-0.27681647229452144,-0.014447941556368304
2020-09-29,54577.22181369857,-0.012395195923338154,0.10846693181401368,-0.0628172990200404
2020-09-30,12963.881040861916,-0.025946359126216567,-0.7624671866751551,-0.016064453659241362
2020-10-01,19938.296298416382,0.05107978976446281,0.5379882178470503,0.0405621148843851
2020-10-02,111170.64437840192,-0.0149351761986658,4.575734391470135,-0.07240940085692038
2020-10-03,210976.57120215625,0.13234310606544186,0.8977723155407427,0.019046697193417117
2020-10-04,37816.29575736237,-0.008465173294281647,-0.820755946777014,-0.02999710491975638
2020-10-05,27607.47366444276,0.0006651356652995766,-0.2699582782624096,-0.010880602928651006
2020-10-06,485401.91282510496,0.13321598310052263,16.582264814410806,-0.11921700422638437
2020-10-07,3082210.295511441,1.2492231626560977,5.349810773452784,-0.02490576600272909
2020-10-08,2701780.2007586216,0.5865300395430812,-0.1234276893133579,0.059276997736655845
2020-10-09,3601617.511681823,0.45309783979969254,0.3330534847618396,0.045894409158635296
2020-10-10,477327.98481939104,0.1004508336580694,-0.8674684407016623,0.031887821083895984
2020-10-11,-409163.15488305874,-0.04795245185893238,-1.8571949852005343,-0.01402983506624611
2020-10-12,33871.64624917204,0.019608197519023207,-1.0827827379981287,0.02746523938074419
2020-10-13,314475.05190304096,0.03042396400448455,8.284315547867061,-0.007651018479641003
2020-10-14,729329.6792116317,0.04667759620864387,1.3191972615891285,-0.0037333313226680653
2020-10-15,861171.9629509168,0.018148419534680826,0.18077186147394952,-0.04473740476868415
2020-10-16,344120.7136204679,-0.02861557570296802,-0.6004041835717759,-0.05549912699630788
