"HolderAddress","Balance","PendingBalanceUpdate"
"0x4d5ef58aac27d99935e5b6b4a6778ff292059991","7172.17022045376","No"
"0xca55ae215caaf0d12601160211959ec6bd8f84e3","0.097817714825634","No"
"0xcca17fa2bf48fb8f7886d21fa473a8b774ac4223","0.08","No"
"0xf62ff63768819731092a4ad392519c7e3f14666c","0.247036460523164","No"
"0x79bce5d95f985ac1079b0b7f6f7fc281593dff54","0.162310615130232","No"
"0xb13a8acf0d57fa68efeefe794c7ad080f89bc49b","0.00200110612665444","No"
"0xf955eb552232cb6b0314170b21d6eb3847b819e3","0.00100078393346356","No"
"0xd3a39b11ababd278753ddd66ccdfb32df1b5604b","102.058559294319","No"
"0xad22f3bcdc29faf04fe6c63f9db1f958f20b4f8c","0.000600281025415949","No"
"0xffbbafadef0e06676eedd3b727c2e4d48907c754","1E-18","No"
"0x494cc492c9f01699bff1449180201dbfbd592ea5","1E-18","No"
"0x7de116f086de8da4233ebafdc215112f221c4c23","3.8789904014726E-05","No"
"0x1902968b5b91b28dfe4e0d880d615fadf67a9f9e","112.120411059573","No"
"0x3f499fe484a61af03b01ea5c81eab14f67c11a5a","1E-18","No"
"0x7a22cd4c4a78f6953af75204e2b46bc33fa8f5fb","1.66386122435E-07","No"
"0xc4eaf72bc568d82bd82e7a1c1c0d0fc536984dc7","7.89769905183063","No"
"0x1cad4b421944c36c1994ca7e6112082f81cea708","7.83810724376E-07","No"
"0xbfecec47dd8bf5f6264a9830a9d26ef387c38a67","7E-18","No"
"0x743dd3139c6b70f664ab4329b2cde646f0bac99a","1E-18","No"
"0x763442c5da5ff56a1ac8d7422e646a5805006212","8.91590890184E-07","No"
"0x4f8692ac9ab8f094a2dcd686cf861fc4e94f5ab5","93.7372746829284","No"
"0x4d3b9ed7476c1e5f318f74b2b6854b04c27ecfef","4.3E-17","No"
"0x132db8234171cc9d8a65853cf03d5c0f46c8867e","5.4E-17","No"
"0xa2747a5a843cbd6077502142c17dbea57688a683","7.811748028349E-06","No"
"0xc4b58654979382b02c65b8786f6b0242b7f6648c","2.13779177782919","No"
"0x19debb4733313f7d0da979b902f810d3feea06d9","1","No"
"0x854de5feddd1a036a05c23850128760f6e0c776d","0.25","No"
"0xeca51b33ec9a9ae8847d9dfc60e5513b4e1965d4","3.17847172728889","No"
"0x59563f8dbbf7e4eba191b26afc9a83a80bdc3588","7.3E-17","No"
"0x8269c9ecf3fceae69896ac193a8e61bc243b120c","17.0982948210151","No"
"0x7fc070bc28a03ebe8bc2afaa6225afd5cf29b1de","0.02","No"
"0x490b9c0f49d9a8f281cee344172c22cd40db27cf","3.8E-17","No"
"0x2813fca6621e9e5c8d005e1b9c930334945b8afe","8E-18","No"
"0x4c4180bf5ec78af9025bdd935ed69e29c2f6cbae","1.44843200477519","No"
"0x00fff7e689a4ed9668c9207f55c8d68bab1cb507","8.67855602796084","No"
"0x2ab410632c481c1c746389b920133d0ffc4c9410","0.0723330520426659","No"
"0x61c31854f6ab621564b87ba8c6cec64784ed5d7f","9.73235570329637","No"
"0xe3f5ea1e1212e02039ec2df87e567ba1c79f3a03","0.0121909086350038","No"
"0x626fef5358a90d37f31534ce6cd99b428e330bd1","2.37722718382575","No"
"0xf3b1b6e83be4d55695f1d30ac3d307d9d5ca98ff","7.8142538E-11","No"
"0x924b575917f822e32e88b7e7171fe0c00c70f401","5","No"
"0xb7de424cb69482ea09a16dd6df45e03d340aae1a","0.15187427994681","No"
"0x22b660f6e6a007acea649acd028a8d057c15620c","8.3697992808647E-05","No"
"0xf752ffdeb4cdad1a28b75bd4c7968b98442477b0","8.00419878310863","No"
"0xbbfbddd3d1693fdff0e4d48aa7f1874be3fe6257","5E-18","No"
"0xe8572c97de7d4611ac6635a7c2712223d05edad0","4E-18","No"
"0xfe2fb6fc91bc3962ddb9848094d4a4ee3f309d52","2","No"
"0x2e9fbb5b96111becae517b5f93fb06323a4cf888","28.1425857611325","No"
"0x3d066684d6795109cab9606631b15c1ffac36596","1.46543259180293","No"
"0xd15472d58e1bf8fbfa4a9f87c5f3d4108d965b8f","11.6610049789747","No"
"0xd1f61e4626e6732d8045f749f779cfb851342d9b","2","No"
"0xc94eb91a02f0372d86ba0cd15132d1a8f7b490a9","0.692311046478802","No"
"0x1727ba5e37209cee3793b87c49c6e89a6a63b695","1.81941096336554","No"
"0xa6232189f2c3101c09e3c2d9008e509ff440cdee","5.54400352289E-07","No"
"0xd5c539f38f302cfba476a2d3ba358b59ff9bd125","3","No"
"0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b","19.1902971793087","No"
"0xcbf9e01d8063c1cb85688491f0cbd9a9cda7b245","9.996542324496E-06","No"
"0x58edb6f0ffffe081de157789053cee5dcd774da0","1E-18","No"
"0x2d7ef1628662520f4ee68c5d2134b1f7fb48fa9a","7.9E-17","No"
"0x250c43a4e01b544039e9f27736850c5037792c5c","3E-18","No"
"0x8f08ee5e3e44bdc28127e050fcb13f5e4671433d","1.001","No"
"0xdd23cb54ca081af07718351637777589dafdd36b","3.23241174763409","No"
"0x253e951afe5b8839942049e81f2758fd3257936f","0.000102739546276438","No"
"0xa901368aec255b1e6df31edf8aa735ff16bb12a8","0.000578112107145752","No"
"0x99ae2edb324722b45c756fb183f6b327b6265a6e","9.6901695153059E-05","No"
"0x6ba1ffb6d48b5778820f2d611f3ca04be13d60d7","4.50386217152878","No"
"0x32bf79ce26658de6f7343824a17be9ad496025c4","10.13","No"
"0xefc4788ce633e30bed13431c8901076e5c8d85aa","12.063008661214","No"
"0x041b909536a5783db35682507799d8b48970caf1","3.5","No"
"0x1fc5a9cc1be24522c58fe2d82b2a5561994da683","9.31533388809546","No"
"0x9860e20f1db11199ee4a025eb181b0c1c1ac9c42","3.09163482622777","No"
"0x08e166bddc849cfd91084e828b5096085e8e0875","3","No"
"0xae0f01925c62a5d3f807ec6ad92e1dad4f238beb","1.90460130329E-07","No"
