Date,BNB_returns,WBTC_returns,WETH_returns,UNI_returns,AAVE_returns,MKR_returns,SNX_returns,COMP_returns,fear_index,aum_change,net_flow_change,DPI_returns,Umichigan_survey_change,ISM_Manufacturing_change,SPX_change,NASDAQ_change,Inflation_CPI_change,Inflation_PCE_change,10yr_bond_change,Fed_funds_rate_change,2yr_bond_change,Inflations_expectations_change,Inflation_surprises_change,Economic_surprises_change,Hourly_earnings_change,MS_Market_Sentiment_change,VIX_change,SOFR_change
2020-10-14,-0.0043688768127053,-0.0029474343108467,-0.0047077011929191,-0.0432571739897776,0.0297523852445256,-0.0058797853597415,-0.0188415157697338,-0.0397614274713382,0.0,0.0466775962086438,1.3191972615891283,-0.003733331322668,0.0,0.0,-0.0066231388438835,-0.0080218140746297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0032214066978155,0.0
2020-10-15,0.0077540205176707,9.92293953820944e-05,-0.0092718832745606,-0.0613858852133855,-0.0919613596650287,-0.0237824142131002,-0.0676238826132936,-0.0340739601031613,1.0,0.0181484195346808,0.1807718614739495,-0.0447374047686841,0.0,0.0,-0.0015278028589691,-0.0046615055320327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003999999999999,0.0,-0.0003999999999999,0.0055171837573462,0.0001
2020-10-16,-0.0182942565937074,-0.0049695879353667,-0.0189797575317736,0.0273581647306844,-0.1291778436495676,-0.0289511865076071,-0.0393979014889115,-0.0330860608867273,0.0,-0.028615575702968,-0.6004041835717759,-0.0554991269963078,0.0,0.0,0.0001349279714295,-0.0036119574487339,0.0,0.0,0.0001999999999999,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0006,0.0042191176043855,-0.0001
2020-10-17,-0.0067668172631261,-0.0010875671430954,-0.0057624711592082,-0.0294142366763214,-0.0108797803863724,0.0083370763947645,-0.0121481605334162,0.0010394621262375,1.0,-0.0216066329019284,-1.088394900169539,-0.0178995353186782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2020-10-18,0.0123008234953028,0.0082466798983074,0.0154741245034928,0.0335529329192025,-0.0205437760822811,0.021054964898155,0.0017657346972994,0.0158064709268508,1.0,0.0286265096743505,-4.956230308402691,0.0248535133624321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001
2020-10-19,-0.0156480573719821,0.0122154502426903,0.0119277198443559,0.015837178896378,-0.0364750013341621,0.0158276538588983,-0.0244171158288635,-0.0175993663021613,1.0,0.0067390184690281,0.4560533478526869,-0.0113991735662802,0.0,0.0,-0.0163298228089361,-0.0165085044329978,0.0,0.0,0.0002,0.0,9.999999999999984e-05,0.0,0.0,-0.0001,0.0,-0.0010999999999999,0.0166395489344431,0.0
2020-10-20,-0.0281303868161236,0.0251555823185944,-0.0106168180352045,-0.0625846471731987,-0.115778368170257,-0.0168555140988461,-0.0732202325757488,-0.0684010482872067,1.0,-0.0297337095044812,2.280739547432354,-0.0672156157941467,0.0,0.0,0.0047272769717412,0.0032764520580406,0.0,0.0,0.0002,0.0,-9.999999999999984e-05,0.0,0.0,-9.99999999999994e-05,0.0,-0.0006,0.0015712493804813,-9.999999999999994e-05
2020-10-21,0.0114522727627994,0.0504317718554669,0.0284878382847781,-0.0072794459841694,0.0066881995710261,-2.308524948135826e-05,0.0133923270530811,0.0025235073535705,1.0,0.0218039937901681,-0.6791701819576683,0.0091633872742185,0.0,0.0,-0.0021956829851994,-0.0027612579874596,0.0,0.0,0.0002999999999999,0.0,9.999999999999984e-05,0.0,0.0,0.0,0.0,-0.0004999999999999,-0.0064994551803561,-9.999999999999994e-05
2020-10-22,0.0320730210147803,0.0367366147947518,0.0569128980144479,0.0166014782265992,0.0467472147872953,0.0438335318969358,0.0445883363074084,0.0236157817145659,1.0,0.0679434983842852,0.6602479053583445,0.0346707006447772,0.0,0.0,0.0052189453829942,0.001856384456176,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0002,0.0,-0.0002,-0.0050683019704429,0.0
2020-10-23,0.0034403945518119,0.0001574007278808,0.0155951275169754,-0.0006148551763556,0.1010572356934693,0.0106080210436207,0.010415210915406,0.0459213553708535,1.0,-0.0205313507870987,-2.157130457659913,0.0118672162385502,0.0,0.0,0.0034457896215134,0.0036737322494939,0.0,0.0,-0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002999999999999,-0.005307706792034,9.999999999999994e-05
2020-10-24,-0.001869857045248,0.0070235489501009,-0.000714913618222,-0.0053029450858174,0.0192066220483022,0.0034514204519526,-0.0025742332806691,0.0139156900855541,1.0,0.0288502561546033,-1.4229947992739824,0.0176298518747461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999994e-05
2020-10-25,-0.0092315645070083,0.0022946539247208,-0.007035972895795,-0.0363145832996935,-0.0339429781206246,-0.0093191608526067,-0.040849746245713,-0.0102125426043363,2.0,0.0191514447848295,3.1495171921405083,-0.0214865196422053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.999999999999994e-05
