Date,BNB_price,WBTC_price,WETH_price,UNI_price,AAVE_price,MKR_price,SNX_price,COMP_price,fear_index,aum,net_flow,DPI_price,Umichigan_survey,ISM_Manufacturing,SPX,NASDAQ,Inflation_CPI,Inflation_PCE,10yr_bond,Fed_funds_rate,2yr_bond,Inflations_expectations,Inflation_surprises,Economic_surprises,Hourly_earnings,MS_Market_Sentiment,VIX,SOFR
2020-10-31,28.56015277777769,13708.47517361112,386.9892499999995,2.347777777777757,30.636777777777816,524.3472499999976,3.0667916666666826,92.0467430555557,1.0,14681025.822169311,187215.9635485673,65.89551437268743,80.4,55.4,3269.96,10911.59,0.2,0.2,0.87,0.25,0.15,2.98,23.97,0.87,4.8,0.09,38.02,0.09
2020-11-01,28.3186180555556,13725.402583333307,389.1369652777772,2.289090277777783,29.3856666666666,529.9902847222234,2.8612638888888884,91.69622222222216,1.0,14376018.045893434,47567.59249975553,64.39628662426617,80.4,55.4,3269.96,10911.59,0.2,0.2,0.87,0.25,0.15,2.98,23.97,0.87,4.8,0.09,38.02,0.09
2020-11-02,28.531604166666728,13578.309888888847,390.7630902777785,2.317270833333327,31.087680555555604,538.3246944444462,2.7531979166666667,93.25952777777786,1.0,14603173.163203632,203556.03354958937,64.64660572772813,81.8,58.8,3310.24,10957.61,0.1,0.0,0.84,0.25,0.15,2.84,22.75,0.89,4.6,0.11,37.13,0.11
2020-11-03,26.804305555555537,13596.46777777774,381.1530972222216,2.1396319444444805,28.32950694444452,519.22279861111,2.525868055555631,85.92214583333373,1.0,13791157.565503808,42083.55502360621,60.193986126296046,81.8,58.8,3369.16,11160.57,0.1,0.0,0.9,0.25,0.17,2.84,22.75,0.87,4.6,0.15,35.55,0.1
2020-11-04,26.58913194444453,13870.829340277738,389.1089722222207,2.0460833333333124,27.73033333333344,514.240479166667,2.5576805555555904,86.11040972222192,1.0,13997073.30714196,495668.6136556638,59.21331607117918,81.8,58.8,3443.44,11590.78,0.1,0.0,0.76,0.25,0.14,2.84,22.75,0.82,4.6,0.26,29.57,0.1
2020-11-05,27.49554166666672,14701.39036111114,407.3906736111096,2.022909722222197,28.568041666666776,532.4655000000015,2.809416666666663,88.49288888888871,1.0,13859298.461536374,-184422.2186004445,59.75187668311656,81.8,58.8,3510.45,11890.93,0.1,0.0,0.76,0.25,0.14,2.84,22.75,0.81,4.6,0.41,27.58,0.11
2020-11-06,28.7766527777777,15547.747215277735,438.3695347222243,2.465256944444443,36.05783333333333,533.1036041666656,3.364003472222223,94.67080555555532,2.0,15795085.822916884,-353302.1017106797,69.59040782653392,81.8,58.8,3509.44,11895.23,0.1,0.0,0.82,0.25,0.15,2.84,22.75,0.81,4.6,0.51,24.86,0.1
2020-11-07,28.81433333333338,15313.26972222227,452.9819791666669,2.7328888888888985,42.816312499999896,536.5370416666668,3.801875000000018,101.01031250000008,2.0,17281468.85174932,-163384.70953160716,76.64569791120277,81.8,58.8,3509.44,11895.23,0.1,0.0,0.82,0.25,0.15,2.84,22.75,0.81,4.6,0.51,24.86,0.1
2020-11-08,28.22251388888886,15180.728666666611,445.6930486111116,2.675944444444474,48.54777083333326,525.3239722222249,4.075451388888903,96.30059027777796,2.0,17618757.92346048,35210.93918970411,78.35641206269202,81.8,58.8,3509.44,11895.23,0.1,0.0,0.82,0.25,0.15,2.84,22.75,0.81,4.6,0.51,24.86,0.1
2020-11-09,28.22569444444449,15359.718840277832,449.1596388888881,2.713083333333325,54.10558333333344,527.5868819444456,4.22764583333332,96.61485416666652,2.0,18304158.387428325,180297.25145379445,80.20951967663368,81.8,58.8,3550.5,11713.78,0.1,0.0,0.92,0.25,0.17,2.84,22.75,0.81,4.6,0.65,25.75,0.1
2020-11-10,28.15252083333339,15300.131319444425,448.38945833333474,2.894166666666661,61.67365972222227,535.7250208333329,4.510506944444432,100.17236111111092,2.0,18909259.57357538,-835185.3249395968,87.72568062583082,81.8,58.8,3545.53,11553.86,0.1,0.0,0.96,0.25,0.18,2.84,22.75,0.81,4.6,0.75,24.8,0.1
2020-11-11,28.19854861111117,15562.488499999996,463.809465277779,3.077076388888885,59.361562500000126,550.8312916666663,4.452795138888804,108.0462569444444,2.0,20926138.14491544,1302098.243411225,89.10893136427927,81.8,58.8,3572.66,11786.43,0.1,0.0,0.98,0.25,0.18,2.84,22.75,0.81,4.6,0.83,23.45,0.1
2020-11-12,27.83726388888892,15911.308062500031,461.0952986111113,2.9935694444444687,55.17479861111087,538.1073958333311,3.9308055555555206,103.76240972222216,2.0,20653066.53692737,1020152.0900657288,83.8270376648925,81.8,58.8,3537.01,11709.59,0.1,0.0,0.88,0.25,0.18,2.84,22.75,0.81,4.6,0.9,25.35,0.09
2020-11-13,28.045597222222224,16271.493993055525,467.4382916666675,3.363854166666668,60.58908333333325,542.0473472222225,4.129222222222188,106.97215972222244,2.0,21751346.99490713,-21053.920339313063,90.10508501557317,81.8,58.8,3585.15,11829.29,0.1,0.0,0.9,0.25,0.18,2.84,22.75,0.8,4.6,0.95,23.1,0.09
2020-11-14,27.835701388888992,16010.254381944464,464.219597222222,3.731666666666664,62.57802777777809,534.7453611111097,4.118145833333346,114.34336111111082,2.0,21788551.43933889,-339661.8281772649,90.6664857964978,81.8,58.8,3585.15,11829.29,0.1,0.0,0.9,0.25,0.18,2.84,22.75,0.8,4.6,0.95,23.1,0.09
2020-11-15,27.84868055555565,15981.168118055475,455.85161805555504,3.998965277777761,66.54921527777782,521.3070833333353,4.258687500000002,122.54886111111138,2.0,23343578.237853903,536364.4050288434,94.5665189497414,81.8,58.8,3585.15,11829.29,0.1,0.0,0.9,0.25,0.18,2.84,22.75,0.8,4.6,0.95,23.1,0.09
2020-11-16,27.89325694444449,16361.27689583335,456.6044027777777,3.735576388888904,67.8412222222223,518.2078194444437,4.294506944444469,120.47138194444469,2.0,23688613.928894065,525373.8207274965,94.47469853773966,81.8,58.8,3626.91,11924.13,0.1,0.0,0.91,0.25,0.18,2.84,22.75,0.77,4.6,1.01,22.45,0.1
2020-11-17,28.5061388888887,17067.795097222224,471.0328611111084,3.675215277777775,73.73117361111129,518.8821319444435,4.728652777777792,123.08252777777795,2.0,26421076.802335065,1558636.287211843,98.47847765949524,81.8,58.8,3609.53,11899.34,0.1,0.0,0.86,0.25,0.17,2.84,22.75,0.75,4.6,1.03,22.71,0.09
2020-11-18,28.135124999999853,17854.919743055554,478.3056944444448,3.529409722222253,74.3103680555556,515.9277222222242,4.804902777777787,114.78613888888876,2.0,27949627.577030275,1700293.840341122,98.05968224099963,81.8,58.8,3567.79,11801.6,0.1,0.0,0.87,0.25,0.17,2.84,22.75,0.75,4.6,1.02,23.84,0.07
2020-11-19,28.06431944444452,17816.067076388867,474.6018263888899,3.546513888888879,74.98867361111076,511.9887152777784,4.842638888888825,114.81848611111104,2.0,29351607.743989624,857238.1139093859,101.48147210791156,81.8,58.8,3581.87,11904.71,0.1,0.0,0.83,0.25,0.16,2.84,22.75,0.75,4.6,0.97,23.11,0.06
2020-11-20,28.66083333333336,18317.296854166714,498.3772916666674,3.883902777777765,77.94028472222239,515.4814722222225,5.216309027777832,118.59940972222226,2.0,32410978.86576218,1051120.942299572,106.2372592118175,81.8,58.8,3557.54,11854.97,0.1,0.0,0.82,0.25,0.16,2.84,22.75,0.75,4.6,0.91,23.7,0.05
