day,tvl,volume_traded,fees_collected,ma_tvl,apy
2021-05-05T00:00:00+00:00,1146.0330024895693,5189.385,15.568155,1146.0330024895693,0.7063880867666096
2021-05-06T00:00:00+00:00,1431.91342200071,0,0,1288.9732122451396,0.6280534399857173
2021-05-07T00:00:00+00:00,999128.9494352461,68341.81795125858,205.02545385377573,333902.2986199121,0.03435396434168866
2021-05-08T00:00:00+00:00,1.0330345373227538e+06,65514.496891887764,196.5434906756633,508685.3582956225,0.04264154417223275
2021-05-09T00:00:00+00:00,939690.8687265352,26010.76857311537,78.03230571934611,594886.4603818051,0.04328356886188155
2021-05-10T00:00:00+00:00,969690.9699460499,30085.562875581087,90.25668862674326,657353.8786425125,0.04631015024113485
2021-05-11T00:00:00+00:00,917070.46900914,10751.60878156787,32.25482634470361,694456.248694888,0.04625116112327452
2021-05-12T00:00:00+00:00,1.0387562301845914e+06,22404.280427134338,67.21284128140302,737493.7463811008,0.04829122385490873
2021-05-13T00:00:00+00:00,966220.4837242027,45034.54955281728,135.10364865845185,762907.8283081122,0.055891241046623186
2021-05-14T00:00:00+00:00,1.0025359502830482e+06,49841.089000895045,149.52326700268515,786870.6405056057,0.0640703472937684
2021-05-15T00:00:00+00:00,1.414069678056025e+06,335418.98543029407,1006.2569562908822,843888.7348283712,0.12174642544610483
2021-05-16T00:00:00+00:00,1.4735259678417044e+06,100236.79914543475,300.7103974363043,896358.5042461489,0.1320647676632856
2021-05-17T00:00:00+00:00,1.427532510942677e+06,654050.756780026,1962.152270340078,937218.0432228049,0.23517397819833052
2021-05-18T00:00:00+00:00,952741.1688817192,582977.6415734567,1748.93292472037,938326.8379127274,0.33181807784802997
2021-05-19T00:00:00+00:00,797195.4958306744,688040.7747511942,2064.1223242535825,928918.0817739238,0.4507266860507792
2021-05-20T00:00:00+00:00,1.379163252215691e+06,304983.39153945824,914.9501746183747,957058.4049265343,0.4871861270854775
2021-05-21T00:00:00+00:00,1.3434592837570198e+06,344239.27598821494,1032.7178279646448,979787.868387151,0.5306933485519194
2021-05-22T00:00:00+00:00,1.1976563033561152e+06,432796.5401616957,1298.389620485087,991891.6703298712,0.5922856120112099
2021-05-23T00:00:00+00:00,1.081580479427755e+06,407764.4817697564,1223.2934453092691,996612.133966602,0.6533077432790418
2021-05-24T00:00:00+00:00,1.1989067054120481e+06,420391.28254753456,1261.1738476426037,1.0067268625388744e+06,0.7118867002676927
2021-05-25T00:00:00+00:00,1.9644583942406569e+06,594132.3332641996,1782.3969997925985,1.052333125953245e+06,0.7691101688922993
2021-05-26T00:00:00+00:00,1.658997063073643e+06,289330.9134763785,867.9927404291354,1.0799087594587177e+06,0.7912665984517758
2021-05-27T00:00:00+00:00,1.7663997541832142e+06,436077.8815099295,1308.2336445297883,1.1097561940119567e+06,0.8312851824828708
2021-05-28T00:00:00+00:00,1.591580230062319e+06,384307.37584273325,1152.9221275281998,1.129832195514055e+06,0.869576769703559
2021-05-29T00:00:00+00:00,1.6511067574815622e+06,1.6082828436253802e+06,4824.84853087614,1.1506831779927553e+06,1.071857117646606
2021-05-30T00:00:00+00:00,1.8688243169807987e+06,270661.4587011007,811.9843761033022,1.1783039910307568e+06,1.0825654090582018
2021-05-31T00:00:00+00:00,1.8957611153248898e+06,900220.0217741026,2700.6600653223077,1.2048764771157247e+06,1.1752453403618717
2021-06-01T00:00:00+00:00,2.5975269618590004e+06,748064.0686458158,2244.1922059374474,1.2546139944279846e+06,1.2216693476701126
2021-06-02T00:00:00+00:00,3.0986229959239415e+06,2.4238802060549776e+06,7271.640618164934,1.3182005117209486e+06,1.4495888564028387
2021-06-03T00:00:00+00:00,3.497108035556024e+06,1.8937279433848e+06,5681.1838301544,1.3908307625154513e+06,1.5862967594080126
2021-06-04T00:00:00+00:00,3.3412902410555454e+06,652032.0419875433,1956.09612596263,1.5021689027838863e+06,1.5358977154150426
2021-06-05T00:00:00+00:00,3.869963245020066e+06,253142.8029903657,759.428408971097,1.6311199471704888e+06,1.4386851606410462
2021-06-06T00:00:00+00:00,3.73715424960717e+06,263714.2955536332,791.1428866608995,1.7223874571762197e+06,1.380146005953265
2021-06-07T00:00:00+00:00,3.3996133696690137e+06,434210.18808607035,1302.630564258211,1.801273418254428e+06,1.3516341677386363
2021-06-08T00:00:00+00:00,3.098537793310398e+06,315067.39656282414,945.2021896884723,1.8732349824072234e+06,1.3237824164119585
2021-06-09T00:00:00+00:00,3.177861109861726e+06,389786.7173798811,1169.3601521396433,1.946840653737746e+06,1.3025559676661231
2021-06-10T00:00:00+00:00,3.2047885272539095e+06,365919.32372314075,1097.7579711694223,2.0230979223459049e+06,1.2808451071647893
2021-06-11T00:00:00+00:00,2.998316660308253e+06,248800.23447856563,746.4007034356969,2.088416603350027e+06,1.2576958255219344
2021-06-12T00:00:00+00:00,2.8229733988492345e+06,177132.7944406743,531.3983833220229,2.150308367187528e+06,1.2310793235897177
2021-06-13T00:00:00+00:00,2.8666729414856583e+06,176199.45575565824,528.5983672669747,2.2124462668942814e+06,1.2054132637281851
2021-06-14T00:00:00+00:00,3.1063255749417255e+06,208951.55651727374,626.8546695518212,2.2688547967904718e+06,1.1667485994408089
2021-06-15T00:00:00+00:00,3.102970027643412e+06,178676.5975635494,536.0297926906483,2.3231695987838623e+06,1.1447376749571914
2021-06-16T00:00:00+00:00,2.9605804674220425e+06,230214.80133089886,690.6444039926965,2.3742711973331734e+06,1.0922515333993232
2021-06-17T00:00:00+00:00,2.8984752905362193e+06,133086.35494330787,399.2590648299236,2.439129001388324e+06,1.0344341417951135
